coder,response_uuid,child_hashed_id,frame_id,videoShown,audioPlayed,frame_duration_stimuli,frame_duration_respond,frame_duration_transcribe,event0_timestamp,parent_transcription,response_video_file,session_order,trial_num,trial_type,testtrial_type,stimulus_set,stimulus_subject,stimulus_verb,stimulus_object,stimulus_distractor,stimulus_targetutterance,stimulus_condition,informative_entities,uninformative_entities,response_exact_utterance,response_attempted_target,response_included_subject,response_included_verb,response_included_object,response_included_distractor,response_included_informative,response_included_uninformative,include_trial,exclusion_reason,notes_trial
sienna/lia,919a8936-fe24-4344-86ac-cbcd8056c817,XYHR5A,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,"pointed to foot, grr, de doo (thank you)",,Order_1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[glitchy video],n,n,n,n,n,n,n,n,glitchy video,
sienna/lia,919a8936-fe24-4344-86ac-cbcd8056c817,XYHR5A,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,,oooh baby baby baby,,Order_1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,[glitchy video],n,n,n,n,n,n,n,n,glitchy video,
sienna/lia,919a8936-fe24-4344-86ac-cbcd8056c817,XYHR5A,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,,angry noises but no words,,Order_1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,[child tries to leave],n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,c2e628f8-f22a-4c30-af7d-af6706a667d1,ZRVXUF,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,Money (bunny),,Order_1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,BUNNY X3,y,y,NA,NA,NA,y,n,y,,
sienna/lia,c2e628f8-f22a-4c30-af7d-af6706a667d1,ZRVXUF,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,She tried to say car,,Order_1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,unintelligible,n,n,NA,NA,NA,n,n,y,,
sienna/lia,c2e628f8-f22a-4c30-af7d-af6706a667d1,ZRVXUF,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,A duck! Uh Oh. Ball,,Order_1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,DUCK X2; UH OH; BALL,y,y,n,y,n,y,y,y,,
sienna/lia,c2e628f8-f22a-4c30-af7d-af6706a667d1,ZRVXUF,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,,Uh oh Mommy uh oh,,Order_1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,"UH OH, MUMMY; UH OH",n,n,n,n,n,n,n,y,,
sienna/lia,c2e628f8-f22a-4c30-af7d-af6706a667d1,ZRVXUF,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,,Uh oh uh oh uh oh,,Order_1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,"NO, UH OH X4",n,n,n,n,n,n,n,y,,
sienna/lia,c2e628f8-f22a-4c30-af7d-af6706a667d1,ZRVXUF,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,"No. Uh oh, uh oh, uh oh",,Order_1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,UH OH X4,n,n,n,n,n,n,n,y,,
sienna/lia,c2e628f8-f22a-4c30-af7d-af6706a667d1,ZRVXUF,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,,Uh oh uh oh mommy,,Order_1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,UH OH X2,n,n,n,n,n,n,n,y,,
